ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230323_172821,1.0,0.0,20230311_1707_reverb_Building_Lobby_snr_0_db.wav,0.0,7.498509423365921,-2.3148886745791764,3.458360450411089,0.48808047806679306
ID,20230323_172821,2.0,0.0,20230118_1752_reverb_office1_snr_0_db.wav,0.0,7.498509423365921,-2.3148886745791764,3.458360450411089,0.48808047806679306
ID,20230323_172821,1.0,8.0,20230311_1707_reverb_Building_Lobby_snr_8_db.wav,1.0,3.1331713392349134,-2.3461106971655217,3.3996768448250534,0.4883956436238188
ID,20230323_172821,2.0,8.0,20230118_1753_reverb_office1_snr_8_db.wav,0.0,12.151050429891592,-2.2816125027019725,3.0616395836160017,0.4874477073166581
