ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230321_143803,1.0,0.0,20230311_1707_reverb_Building_Lobby_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_143803,2.0,0.0,reverb_office1_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_143803,1.0,7.0,20230311_1707_reverb_Building_Lobby_snr_7_db.wav,0.0,11.298655865796146,-2.263224809679423,3.165106158644673,0.4872320119237615
ID,20230321_143803,2.0,7.0,20230118_1752_reverb_office1_snr_7_db.wav,0.0,11.298655865796146,-2.263224809679423,3.165106158644673,0.4872320119237615
ID,20230321_143803,1.0,12.0,20230311_1707_reverb_Building_Lobby_snr_12_db.wav,0.0,20.808079806720496,-1.8501566259681235,4.1643178012594495,0.7561669718721185
ID,20230321_143803,1.0,20.0,20230311_1708_reverb_Building_Lobby_snr_20_db.wav,0.0,28.13049204269791,-1.8367761888689969,5.24558719679954,0.9215447104910308
ID,20230321_143803,2.0,12.0,20230118_1753_reverb_office1_snr_12_db.wav,0.0,20.808079806720496,-1.8501566259681235,4.1643178012594495,0.7561669718721185
ID,20230321_143803,2.0,20.0,reverb_office1_snr_20_db.wav,1.0,16.847376059041988,-1.8136086970243064,4.694777788756866,0.9248848611322489
ID,20230321_143803,2.0,16.0,reverb_office1_snr_16_db.wav,0.0,20.19975143979748,-1.814479152578015,4.590784345667304,0.9569545228624714
ID,20230321_143803,2.0,20.0,20230118_1753_reverb_office1_snr_20_db.wav,0.0,24.516763787644166,-2.04908608872458,4.955485441794309,0.9398733176516958
