ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230321_164715,1.0,0.0,20230311_1707_reverb_Building_Lobby_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_164715,2.0,0.0,reverb_office1_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_164715,1.0,7.0,20230311_1707_reverb_Building_Lobby_snr_7_db.wav,0.0,11.298655865796146,-2.263224809679423,3.165106158644673,0.4872320119237615
ID,20230321_164715,2.0,7.0,20230118_1752_reverb_office1_snr_7_db.wav,1.0,1.887269580466835,-2.3448728572520583,3.4968941391043953,0.4883933074970238
ID,20230321_164715,1.0,12.0,20230311_1707_reverb_Building_Lobby_snr_12_db.wav,0.0,20.808079806720496,-1.8501566259681235,4.1643178012594495,0.7561669718721185
ID,20230321_164715,1.0,20.0,20230311_1708_reverb_Building_Lobby_snr_20_db.wav,0.0,28.13049204269791,-1.8367761888689969,5.24558719679954,0.9215447104910308
ID,20230321_164715,2.0,2.0,20230118_1752_reverb_office1_snr_2_db.wav,1.0,-4.266148165013796,-2.083547376421701,5.264124625561426,0.7498574269922106
ID,20230321_164715,2.0,-3.0,reverb_office1_snr_-3_db.wav,0.0,0.9186248279971865,-1.965853828169426,5.277411218069949,0.9080102719173437
ID,20230321_164715,2.0,0.0,reverb_office1_snr_0_db.wav,0.0,3.802208922756653,-1.8356801402257248,4.247843515644087,0.9551177200650078
ID,20230321_164715,1.0,20.0,20230311_1708_reverb_Building_Lobby_snr_20_db.wav,1.0,22.33217740547083,-2.1163158409371268,5.823802712921193,0.9233191106495041
