ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230404_191134,0.0,0.0,20230118_1752_reverb_office1_snr_0_db.wav,0.0,7.498509423365921,-2.314888674579177,3.4583604504110896,0.48808047806679306
ID,20230404_191134,0.0,8.0,20230118_1753_reverb_office1_snr_8_db.wav,0.0,12.151050429891592,-2.281612502701973,3.0616395836160026,0.48744770731665826
ID,20230404_191134,0.0,13.0,20230118_1753_reverb_office1_snr_13_db.wav,0.0,21.142776064719907,-1.856913910355201,3.6864007018448297,0.7545602650687446
ID,20230404_191134,0.0,20.0,20230118_1753_reverb_office1_snr_20_db.wav,0.0,28.427412492090053,-1.8254735886037354,4.707478217682646,0.9212034608181238
