ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230323_173152,1.0,0.0,20230118_1752_reverb_office1_snr_0_db.wav,0.0,7.498509423365921,-2.314888674579177,3.4583604504110896,0.48808047806679306
ID,20230323_173152,1.0,8.0,20230118_1753_reverb_office1_snr_8_db.wav,0.0,12.151050429891592,-2.281612502701973,3.0616395836160026,0.48744770731665826
ID,20230323_173152,1.0,13.0,20230118_1753_reverb_office1_snr_13_db.wav,1.0,11.773586780572476,-1.9745996302892,3.62865853576725,0.7553188500273582
ID,20230323_173152,1.0,12.0,20230118_1753_reverb_office1_snr_12_db.wav,0.0,16.829846710683615,-2.0807136339698826,4.47853233537392,0.9119987874068034
