ID,time,model nbr,snr (dB),file,response,srt,log-slope,var(srt),var(log-slope)
ID,20230321_143648,1.0,0.0,20230311_1707_reverb_Building_Lobby_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_143648,2.0,0.0,20230118_1752_reverb_office1_snr_0_db.wav,0.0,6.76168478581565,-2.302585092994045,3.5281226098774443,0.48800385972108395
ID,20230321_143648,1.0,7.0,20230311_1707_reverb_Building_Lobby_snr_7_db.wav,0.0,11.298655865796146,-2.263224809679423,3.165106158644673,0.4872320119237615
ID,20230321_143648,2.0,7.0,20230118_1752_reverb_office1_snr_7_db.wav,1.0,1.887269580466835,-2.3448728572520583,3.4968941391043953,0.4883933074970238
ID,20230321_143648,1.0,12.0,20230311_1707_reverb_Building_Lobby_snr_12_db.wav,1.0,10.69320567814668,-1.9676390987561447,4.093519982900462,0.7556331567905489
ID,20230321_143648,1.0,10.0,20230311_1707_reverb_Building_Lobby_snr_10_db.wav,1.0,6.601413258225783,-1.9019921908871469,4.490941705216858,0.925382491683758
ID,20230321_143648,1.0,7.0,20230311_1707_reverb_Building_Lobby_snr_7_db.wav,0.0,9.345637289382735,-1.7265535306027393,3.6266878522701957,0.973706486586705
ID,20230321_143648,2.0,2.0,20230118_1752_reverb_office1_snr_2_db.wav,0.0,7.450433161474258,-1.9216459962050931,4.8909631104773235,0.7594467101608114
ID,20230321_143648,2.0,8.0,20230118_1753_reverb_office1_snr_8_db.wav,1.0,3.776563639854734,-1.7288276784048222,4.61363274795046,0.945568462820992
ID,20230321_143648,2.0,3.0,reverb_office1_snr_3_db.wav,0.0,5.853961377206338,-1.5832661889296364,3.6641561994094993,0.994581270356932
